dataset,model,protocol,fold_id,protocol_tag,train_subjects,val_subjects,test_subjects,n_train,n_val,n_test,best_epoch,best_val_loss,main_metric,main_value,accuracy,balanced_accuracy,precision,recall,f1,kappa,auc
p300,eegnet_ms_se,within,3,within_sub31_fold3,[31],[31],[31],900,450,450,40,0.49442924161752067,auc,0.7049244444444446,0.7222222222222222,0.6946666666666667,0.3310810810810811,0.6533333333333333,0.43946188340807174,0.2802303262955854,0.7049244444444446
p300,eegnet_ms_se,within,0,within_sub32_fold0,[32],[32],[32],900,450,450,19,0.5798306485017141,auc,0.7942755555555556,0.7311111111111112,0.6839999999999999,0.3333333333333333,0.6133333333333333,0.431924882629108,0.27544910179640714,0.7942755555555556
p300,eegnet_ms_se,within,1,within_sub32_fold1,[32],[32],[32],900,450,450,47,0.48204558392365776,auc,0.752711111111111,0.7422222222222222,0.7013333333333334,0.35036496350364965,0.64,0.4528301886792453,0.30260521042084176,0.752711111111111
p300,eegnet_ms_se,within,2,within_sub32_fold2,[32],[32],[32],900,450,450,25,0.4797154506047567,auc,0.8461155555555555,0.7533333333333333,0.7666666666666666,0.38311688311688313,0.7866666666666666,0.5152838427947598,0.375234521575985,0.8461155555555555
p300,eegnet_ms_se,within,3,within_sub32_fold3,[32],[32],[32],900,450,450,53,0.4544010519981384,auc,0.8738133333333332,0.7911111111111111,0.7946666666666666,0.4316546762589928,0.8,0.5607476635514019,0.43936381709741545,0.8738133333333332
p300,eegnet_ms_se,within,0,within_sub33_fold0,[33],[33],[33],900,450,450,98,0.5301273937026659,auc,0.8082590569292697,0.8066666666666666,0.7432073030477286,0.44036697247706424,0.6486486486486487,0.5245901639344263,0.40877102902534057,0.8082590569292697
p300,eegnet_ms_se,within,1,within_sub33_fold1,[33],[33],[33],900,450,450,108,0.4862052788337072,auc,0.813010132282578,0.7733333333333333,0.711616943428089,0.39166666666666666,0.618421052631579,0.4795918367346939,0.3439108061749572,0.813010132282578
p300,eegnet_ms_se,within,2,within_sub33_fold2,[33],[33],[33],900,450,450,62,0.49407500624656675,auc,0.7572266666666667,0.7288888888888889,0.688,0.3333333333333333,0.6266666666666667,0.43518518518518523,0.2781065088757396,0.7572266666666667
p300,eegnet_ms_se,within,3,within_sub33_fold3,[33],[33],[33],900,450,450,72,0.5999667624632518,auc,0.8286222222222223,0.8,0.7466666666666666,0.43478260869565216,0.6666666666666666,0.5263157894736841,0.4065934065934066,0.8286222222222223
p300,eegnet_ms_se,within,0,within_sub34_fold0,[34],[34],[34],900,450,450,24,0.6127531747023265,auc,0.70496,0.6355555555555555,0.6373333333333333,0.2594594594594595,0.64,0.36923076923076925,0.17310924369747893,0.70496
p300,eegnet_ms_se,within,1,within_sub34_fold1,[34],[34],[34],900,450,450,19,0.6801392138004303,auc,0.6818133333333334,0.68,0.632,0.27450980392156865,0.56,0.368421052631579,0.18644067796610164,0.6818133333333334
p300,eegnet_ms_se,within,2,within_sub34_fold2,[34],[34],[34],900,450,450,31,0.596055805683136,auc,0.6378311111111111,0.7066666666666667,0.6266666666666667,0.2857142857142857,0.5066666666666667,0.36538461538461536,0.19348268839103866,0.6378311111111111
p300,eegnet_ms_se,within,3,within_sub34_fold3,[34],[34],[34],900,450,450,48,0.5903586486975352,auc,0.7177244444444444,0.6933333333333334,0.6666666666666667,0.29936305732484075,0.6266666666666667,0.4051724137931035,0.23191094619666053,0.7177244444444444
p300,eegnet_ms_se,within,0,within_sub35_fold0,[35],[35],[35],900,450,450,39,0.5767086545626322,auc,0.8687728679988741,0.7866666666666666,0.7720588235294117,0.4253731343283582,0.75,0.5428571428571428,0.4172557060378784,0.8687728679988741
p300,eegnet_ms_se,within,1,within_sub35_fold1,[35],[35],[35],900,450,450,37,0.45618180682261783,auc,0.820191201840138,0.7955555555555556,0.7311313973548016,0.41964285714285715,0.6351351351351351,0.5053763440860215,0.3832310350992194,0.820191201840138
p300,eegnet_ms_se,within,2,within_sub35_fold2,[35],[35],[35],900,450,450,82,0.37326311121384304,auc,0.8491377777777778,0.8111111111111111,0.748,0.4537037037037037,0.6533333333333333,0.5355191256830601,0.4217687074829932,0.8491377777777778
p300,eegnet_ms_se,within,3,within_sub35_fold3,[35],[35],[35],900,450,450,76,0.41958458423614503,auc,0.9086577777777778,0.8422222222222222,0.8466666666666667,0.5161290322580645,0.8533333333333334,0.64321608040201,0.5496828752642706,0.9086577777777778
p300,eegnet_ms_se,within,0,within_sub36_fold0,[36],[36],[36],900,450,450,64,0.5054934362570445,auc,0.8025955555555556,0.7711111111111111,0.7133333333333334,0.38524590163934425,0.6266666666666667,0.4771573604060914,0.3411513859275054,0.8025955555555556
p300,eegnet_ms_se,within,1,within_sub36_fold1,[36],[36],[36],900,450,450,38,0.558742610613505,auc,0.7380622222222223,0.6911111111111111,0.6866666666666668,0.3072289156626506,0.68,0.42323651452282157,0.251346499102334,0.7380622222222223
